date_time,latitude,longitude,scientific_name,common_name,general_group,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
2019-01-17 17:47:26 UTC,43.46455097,-65.74500085,Pagurus acadianus,Acadian Hermit Crab,Marine Arthropods,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus acadianus
2018-08-26 16:05:39 UTC,43.46437328,-65.74907994,Rubus allegheniensis,Allegheny Blackberry,Plants,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus allegheniensis
2017-07-04 01:14:47 UTC,43.46396196,-65.74893594,Circaea alpina,Alpine Enchanters Nightshade,Plants,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Circaea,Circaea alpina
2017-05-04 20:11:28 UTC,43.47717906,-65.75323284,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2017-05-10 04:37:19 UTC,43.46397598,-65.74899387,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2018-07-02 19:38:44 UTC,43.46442223,-65.74566327,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2018-08-23 14:02:38 UTC,43.46035333,-65.743155,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2019-01-15 22:10:19 UTC,43.46445974,-65.74570214,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2019-01-17 17:47:38 UTC,43.46435083,-65.74525773,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2020-11-19 00:59:08 UTC,43.46499739,-65.75242784,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2021-07-01 12:35:53 UTC,43.46442807,-65.74571616,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
2022-08-29 00:25:52 UTC,43.46422,-65.74516333,Lycaena hypophlaeas,American Copper,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena hypophlaeas
